TimeStamp,Date,Time,SQF,Main,Description,Temperature,Humidity,Clouds,Rain,Wind Speed
1.60583E+12,20,06:44:40,146,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,06:46:55,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,06:49:01,147,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,06:51:07,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,06:53:13,146,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,06:55:17,147,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,06:56:40,147,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,06:59:40,157,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:01:46,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:02:40,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:04:40,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:08:10,166,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:10:15,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:10:40,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:14:32,166,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:16:37,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:16:40,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:18:40,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:20:40,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:22:40,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:25:08,166,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:27:14,164,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:29:19,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:30:40,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:32:40,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:34:40,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:36:40,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:38:40,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:41:52,166,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:44:03,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:44:40,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:48:15,164,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:50:19,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:50:40,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:52:40,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:54:40,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:56:40,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,07:58:41,164,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,08:00:48,165,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,08:02:53,164,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,08:04:57,163,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,08:06:40,163,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,08:09:08,162,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,08:11:14,163,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,08:13:19,162,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,08:15:24,163,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,08:16:40,163,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,08:18:40,163,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,08:21:46,164,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,08:23:52,162,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60584E+12,20,08:26:08,164,Smoke,smoke,22.12,40,0,No Rain,3.1
